fecha,producto,inflacion_interanual,compra,dolar_interanual
2024-09-01,Pechuga de pollo,2.0930057900628407,59.8079,5.876802588859253
2024-10-01,Pechuga de pollo,1.3225349627021599,59.9901,5.948955965645686
2024-11-01,Pechuga de pollo,1.5519647351878607,60.08370000000001,6.011288589490937
2024-12-01,Pechuga de pollo,3.094385839572511,60.5631,6.79815898991325
2025-01-01,Pechuga de pollo,2.9860950501452432,61.2609,7.038284057889976
2025-02-01,Pechuga de pollo,2.280182969089317,61.9837,5.932588647876336
2025-03-01,Pechuga de pollo,2.4586946540229304,62.7121,6.513206278141159
2025-04-01,Pechuga de pollo,2.213099059443824,60.4155,2.7658000153088613
2025-05-01,Pechuga de pollo,2.5181942408215807,58.7366,0.5922165820642977
2025-06-01,Pechuga de pollo,2.1880167365710967,59.0169,0.05085874999364304
2025-07-01,Pechuga de pollo,1.1381016484394824,60.1943,2.0572761690649033
2025-08-01,Pechuga de pollo,1.5431944779201734,61.7014,3.7680223474585883
2025-09-01,Pechuga de pollo,1.564861242571003,62.4361,4.394402746125525
2025-10-01,Pechuga de pollo,2.3543047787763394,63.2408,5.418727423358183
2025-11-01,Pechuga de pollo,3.0813224258457783,63.3838,5.492504622717953
2025-12-01,Pechuga de pollo,4.009458645297959,63.0851,4.1642518299096265
2026-01-01,Pechuga de pollo,8.562528159495386,63.1114,3.020686930815586
2026-02-01,Pechuga de pollo,8.604143608971615,61.6124,-0.5990284542549018
2026-03-01,Pechuga de pollo,8.104602605098798,59.8943,-4.493231768669837
2026-04-01,Pechuga de pollo,7.167222124481909,59.6398,-1.2839420347427355
2026-05-01,Pechuga de pollo,5.043398629501938,58.7974,0.10351297146924399
2021-09-01,Pollo fresco,11.64017830421975,56.5349,NA
2021-10-01,Pollo fresco,27.676066336878,56.2688,NA
2021-11-01,Pollo fresco,16.889591131464886,56.4591,NA
2021-12-01,Pollo fresco,16.272109758558063,56.8245,NA
2022-01-01,Pollo fresco,9.886873765487536,57.524,NA
2022-02-01,Pollo fresco,10.734525970371656,56.3803,NA
2022-03-01,Pollo fresco,14.524065021263066,54.8247,NA
2022-04-01,Pollo fresco,17.549357318278936,54.9475,NA
2022-05-01,Pollo fresco,17.897381603274166,55.0592,NA
2022-06-01,Pollo fresco,20.135641510018274,54.733,NA
2022-07-01,Pollo fresco,16.482163887094913,54.4699,NA
2022-08-01,Pollo fresco,2.4733337095772967,53.5684,NA
2022-09-01,Pollo fresco,1.617591037995414,53.1725,-5.947476691388864
2022-10-01,Pollo fresco,-0.2266571632216774,53.6738,-4.611791969972701
