"row_id","period","year","month","series","value"
32,2022-12-01,2022,12,"Región Sur",34640.5129909896
34,2023-01-01,2023,1,"Región Este",40144.0424797679
34,2023-01-01,2023,1,"Región Norte o Cibao",41530.7320541715
34,2023-01-01,2023,1,"Región Ozama*",50247.7571737551
34,2023-01-01,2023,1,"Región Sur",34963.1509215832
35,2023-02-01,2023,2,"Región Este",40265.5528899355
35,2023-02-01,2023,2,"Región Norte o Cibao",41519.0442622179
35,2023-02-01,2023,2,"Región Ozama*",50334.2292460678
35,2023-02-01,2023,2,"Región Sur",34977.828870357
36,2023-03-01,2023,3,"Región Este",40394.5558991215
36,2023-03-01,2023,3,"Región Norte o Cibao",41611.8787240209
36,2023-03-01,2023,3,"Región Ozama*",50433.588983004
36,2023-03-01,2023,3,"Región Sur",35034.6020684442
37,2023-04-01,2023,4,"Región Este",40505.967588873
37,2023-04-01,2023,4,"Región Norte o Cibao",41724.0815267757
37,2023-04-01,2023,4,"Región Ozama*",50553.3195446676
37,2023-04-01,2023,4,"Región Sur",35095.2524605472
38,2023-05-01,2023,5,"Región Este",40477.6260186731
38,2023-05-01,2023,5,"Región Norte o Cibao",41664.6407562687
38,2023-05-01,2023,5,"Región Ozama*",50423.6114361987
38,2023-05-01,2023,5,"Región Sur",35010.5080770609
39,2023-06-01,2023,6,"Región Este",40560.0446078752
39,2023-06-01,2023,6,"Región Norte o Cibao",41742.4480569885
39,2023-06-01,2023,6,"Región Ozama*",50537.5217622259
39,2023-06-01,2023,6,"Región Sur",35116.5770276337
40,2023-07-01,2023,7,"Región Este",40697.5826646386
40,2023-07-01,2023,7,"Región Norte o Cibao",41934.0610576453
40,2023-07-01,2023,7,"Región Ozama*",50768.4188245454
40,2023-07-01,2023,7,"Región Sur",35304.4547719381
41,2023-08-01,2023,8,"Región Este",40847.6952571459
41,2023-08-01,2023,8,"Región Norte o Cibao",42199.540903449
41,2023-08-01,2023,8,"Región Ozama*",51001.1451037791
41,2023-08-01,2023,8,"Región Sur",35499.6161021435
42,2023-09-01,2023,9,"Región Este",41043.2195150081
42,2023-09-01,2023,9,"Región Norte o Cibao",42384.8758901422
42,2023-09-01,2023,9,"Región Ozama*",51217.824161901
42,2023-09-01,2023,9,"Región Sur",35635.9548602819
43,2023-10-01,2023,10,"Región Este",41139.8740423452
43,2023-10-01,2023,10,"Región Norte o Cibao",42477.1092655019
43,2023-10-01,2023,10,"Región Ozama*",51339.5502329258
43,2023-10-01,2023,10,"Región Sur",35682.4534942275
44,2023-11-01,2023,11,"Región Este",41213.9530430747
44,2023-11-01,2023,11,"Región Norte o Cibao",42544.7648840677
44,2023-11-01,2023,11,"Región Ozama*",51398.4593321888
44,2023-11-01,2023,11,"Región Sur",35724.8256859707
45,2023-12-01,2023,12,"Región Este",41399.736922213
45,2023-12-01,2023,12,"Región Norte o Cibao",42735.5430424421
45,2023-12-01,2023,12,"Región Ozama*",51703.4396795376
45,2023-12-01,2023,12,"Región Sur",35958.094294502
47,2024-01-01,2024,1,"Región Este",41561.7399435973
47,2024-01-01,2024,1,"Región Norte o Cibao",42858.2648579551
47,2024-01-01,2024,1,"Región Ozama*",51928.5580793323
47,2024-01-01,2024,1,"Región Sur",36131.3494785186
48,2024-02-01,2024,2,"Región Este",41637.0242754733
48,2024-02-01,2024,2,"Región Norte o Cibao",42870.8542795737
48,2024-02-01,2024,2,"Región Ozama*",51980.6076151667
48,2024-02-01,2024,2,"Región Sur",36176.0479866712
49,2024-03-01,2024,3,"Región Este",41734.9492869917
49,2024-03-01,2024,3,"Región Norte o Cibao",42976.9460368213
49,2024-03-01,2024,3,"Región Ozama*",52149.3528755114
49,2024-03-01,2024,3,"Región Sur",36315.1561691065
50,2024-04-01,2024,4,"Región Este",41742.4093094926
50,2024-04-01,2024,4,"Región Norte o Cibao",42929.76075102
50,2024-04-01,2024,4,"Región Ozama*",52076.9325149496
50,2024-04-01,2024,4,"Región Sur",36303.0537849289
51,2024-05-01,2024,5,"Región Este",41732.1802830067
51,2024-05-01,2024,5,"Región Norte o Cibao",42899.9735783839
51,2024-05-01,2024,5,"Región Ozama*",52068.5763195001
51,2024-05-01,2024,5,"Región Sur",36284.9140557839
52,2024-06-01,2024,6,"Región Este",41921.8733442415
52,2024-06-01,2024,6,"Región Norte o Cibao",43084.8410533989
52,2024-06-01,2024,6,"Región Ozama*",52326.2048926355
52,2024-06-01,2024,6,"Región Sur",36489.6852882997
53,2024-07-01,2024,7,"Región Este",42169.4223005052
53,2024-07-01,2024,7,"Región Norte o Cibao",43343.1412555739
53,2024-07-01,2024,7,"Región Ozama*",52535.7749486586
53,2024-07-01,2024,7,"Región Sur",36756.7962617396
54,2024-08-01,2024,8,"Región Este",42309.4361725965
54,2024-08-01,2024,8,"Región Norte o Cibao",43569.8510257828
54,2024-08-01,2024,8,"Región Ozama*",52718.0730434139
54,2024-08-01,2024,8,"Región Sur",36893.7996817092
55,2024-09-01,2024,9,"Región Este",42422.509264739
55,2024-09-01,2024,9,"Región Norte o Cibao",43681.3525610204
55,2024-09-01,2024,9,"Región Ozama*",52884.1576246105
