"row_id","period","year","month","series","value"
52,2021-09-01,2021,9,"Quintil 3",35822.2587140604
52,2021-09-01,2021,9,"Quintil 4",41747.5974773584
52,2021-09-01,2021,9,"Quintil 5",64575.9001165657
53,2021-10-01,2021,10,"Nacional",39359.8053222794
53,2021-10-01,2021,10,"Quintil 1",23246.5877206126
53,2021-10-01,2021,10,"Quintil 2",30360.2016737228
53,2021-10-01,2021,10,"Quintil 3",36062.2559929357
53,2021-10-01,2021,10,"Quintil 4",42019.4936573834
53,2021-10-01,2021,10,"Quintil 5",64955.8697601742
54,2021-11-01,2021,11,"Nacional",39785.0910545201
54,2021-11-01,2021,11,"Quintil 1",23482.8520328206
54,2021-11-01,2021,11,"Quintil 2",30673.369545451
54,2021-11-01,2021,11,"Quintil 3",36404.6478039825
54,2021-11-01,2021,11,"Quintil 4",42412.4006546657
54,2021-11-01,2021,11,"Quintil 5",65768.4839668323
55,2021-12-01,2021,12,"Nacional",40074.1579790131
55,2021-12-01,2021,12,"Quintil 1",23690.3591301451
55,2021-12-01,2021,12,"Quintil 2",30913.0582022543
55,2021-12-01,2021,12,"Quintil 3",36669.1939296876
55,2021-12-01,2021,12,"Quintil 4",42717.1966506325
55,2021-12-01,2021,12,"Quintil 5",66252.0278902406
57,2022-01-01,2022,1,"Nacional",40547.9163779068
57,2022-01-01,2022,1,"Quintil 1",23969.4489350213
57,2022-01-01,2022,1,"Quintil 2",31304.3146861536
57,2022-01-01,2022,1,"Quintil 3",37116.8873731884
57,2022-01-01,2022,1,"Quintil 4",43273.8464100162
57,2022-01-01,2022,1,"Quintil 5",66959.8841110439
58,2022-02-01,2022,2,"Nacional",40921.5451077289
58,2022-02-01,2022,2,"Quintil 1",24167.0254833213
58,2022-02-01,2022,2,"Quintil 2",31586.8436232452
58,2022-02-01,2022,2,"Quintil 3",37456.6950950953
58,2022-02-01,2022,2,"Quintil 4",43667.8878837102
58,2022-02-01,2022,2,"Quintil 5",67600.2690867206
59,2022-03-01,2022,3,"Nacional",41195.0441684793
59,2022-03-01,2022,3,"Quintil 1",24367.0846688775
59,2022-03-01,2022,3,"Quintil 2",31842.529599903
59,2022-03-01,2022,3,"Quintil 3",37737.7147890677
59,2022-03-01,2022,3,"Quintil 4",43921.2542823427
59,2022-03-01,2022,3,"Quintil 5",67980.238730329
60,2022-04-01,2022,4,"Nacional",41588.8403581498
60,2022-04-01,2022,4,"Quintil 1",24638.5196755472
60,2022-04-01,2022,4,"Quintil 2",32184.4384191664
60,2022-04-01,2022,4,"Quintil 3",38119.8369706416
60,2022-04-01,2022,4,"Quintil 4",44348.9518895865
60,2022-04-01,2022,4,"Quintil 5",68593.9903197714
61,2022-05-01,2022,5,"Nacional",41793.6992923988
61,2022-05-01,2022,5,"Quintil 1",24809.4078733439
61,2022-05-01,2022,5,"Quintil 2",32370.7122961164
61,2022-05-01,2022,5,"Quintil 3",38339.4845475396
61,2022-05-01,2022,5,"Quintil 4",44570.9311074929
61,2022-05-01,2022,5,"Quintil 5",68837.8337670716
62,2022-06-01,2022,6,"Nacional",42060.4758665331
62,2022-06-01,2022,6,"Quintil 1",24978.2272067605
62,2022-06-01,2022,6,"Quintil 2",32594.4036330651
62,2022-06-01,2022,6,"Quintil 3",38613.0749852345
62,2022-06-01,2022,6,"Quintil 4",44846.2307167533
62,2022-06-01,2022,6,"Quintil 5",69194.129289583
63,2022-07-01,2022,7,"Nacional",42269.5805818029
63,2022-07-01,2022,7,"Quintil 1",25078.3602427576
63,2022-07-01,2022,7,"Quintil 2",32728.3472942199
63,2022-07-01,2022,7,"Quintil 3",38766.1822667781
63,2022-07-01,2022,7,"Quintil 4",45016.4021785213
63,2022-07-01,2022,7,"Quintil 5",69577.650051356
64,2022-08-01,2022,8,"Nacional",42358.0343530676
64,2022-08-01,2022,8,"Quintil 1",25122.8408269298
64,2022-08-01,2022,8,"Quintil 2",32806.1647653766
64,2022-08-01,2022,8,"Quintil 3",38842.7359075499
64,2022-08-01,2022,8,"Quintil 4",45102.2442270132
64,2022-08-01,2022,8,"Quintil 5",69748.6955762826
65,2022-09-01,2022,9,"Nacional",42482.5772630082
65,2022-09-01,2022,9,"Quintil 1",25215.7328375966
65,2022-09-01,2022,9,"Quintil 2",32936.3124523286
65,2022-09-01,2022,9,"Quintil 3",38990.998021956
65,2022-09-01,2022,9,"Quintil 4",45239.5158728395
65,2022-09-01,2022,9,"Quintil 5",69852.2698560824
66,2022-10-01,2022,10,"Nacional",42601.1053165029
66,2022-10-01,2022,10,"Quintil 1",25306.5559838832
66,2022-10-01,2022,10,"Quintil 2",33053.7165115998
66,2022-10-01,2022,10,"Quintil 3",39116.6493563874
66,2022-10-01,2022,10,"Quintil 4",45383.5943771365
66,2022-10-01,2022,10,"Quintil 5",70008.5190553233
67,2022-11-01,2022,11,"Nacional",42799.5955792209
67,2022-11-01,2022,11,"Quintil 1",25457.9968565069
67,2022-11-01,2022,11,"Quintil 2",33215.3165562319
67,2022-11-01,2022,11,"Quintil 3",39304.3188301781
67,2022-11-01,2022,11,"Quintil 4",45595.3633073368
67,2022-11-01,2022,11,"Quintil 5",70296.1596266531
68,2022-12-01,2022,12,"Nacional",43210.7287080592
68,2022-12-01,2022,12,"Quintil 1",25725.2941344164
68,2022-12-01,2022,12,"Quintil 2",33561.563631727
68,2022-12-01,2022,12,"Quintil 3",39687.0870340371
68,2022-12-01,2022,12,"Quintil 4",46015.8758973059
