PERIODO,CÓD_MES,MES,CÓD_REGIÓN,REGIÓN,CÓD_PROVINCIA,PROVINCIA,CÓD_MUNICIPIO,MUNICIPIO,CÓD_CAPITULO,UNIDAD_EJECUTORA,CÓD_ECO_TITULO,ECO_TITULO,CÓD_ECO_SUB_TITULO,ECO_SUB_TITULO,CÓD_CONCEPTO,CONCEPTO,CÓD_CUENTA,DES_CUENTA,PERCIBIDO
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,1500
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,6700
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,10500
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.9,Impuestos diversos,0
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,0
2023,12,Diciembre,08,Región Yuma,12,La Romana,0003,Villa Hermosa,7311,Villa Hermosa,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,0
2023,12,Diciembre,02,Región Cibao Sur,24,Sánchez Ramírez,0004,La Mata,7312,Villa La Mata,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,3194204.66
2023,12,Diciembre,02,Región Cibao Sur,24,Sánchez Ramírez,0004,La Mata,7312,Villa La Mata,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,8800
2023,12,Diciembre,02,Región Cibao Sur,24,Sánchez Ramírez,0004,La Mata,7312,Villa La Mata,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,10500
2023,12,Diciembre,02,Región Cibao Sur,24,Sánchez Ramírez,0004,La Mata,7312,Villa La Mata,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,5500
