salario,sfs_empleador,pension_empleador,riesgos_bajo,infotep,salario_neto_sin_isr,costo_directo_bajo,sueldo_13,vacaciones_14_dias,costo_anualizado_bajo
61201.25,4339.168625,4345.28875,673.21375,612.0125,57584.256125,71170.93362499999,5100.104166666667,2380.0486111111113,78651.08640277777
61701.25,4374.618625,4380.78875,678.71375,617.0125,58054.706125,71752.383625,5141.770833333333,2399.4930555555557,79293.647513888893
62201.25,4410.068625,4416.28875,684.21375,622.0125,58525.156125,72333.83362499998,5183.4375,2418.9375,79936.20862499998
62701.25,4445.518625000001,4451.78875,689.71375,627.0125,58995.606125,72915.283625,5225.104166666667,2438.3819444444443,80578.7697361111
63201.25,4480.968625,4487.28875,695.21375,632.0125,59466.056125,73496.73362499998,5266.770833333333,2457.8263888888887,81221.3308472222
63701.25,4516.418625,4522.78875,700.71375,637.0125,59936.506125,74078.18362499999,5308.4375,2477.2708333333335,81863.89195833332
64201.25,4551.868625,4558.28875,706.21375,642.0125,60406.956125,74659.633625,5350.104166666667,2496.715277777778,82506.45306944445
64701.25,4587.318625,4593.78875,711.71375,647.0125,60877.406125,75241.08362499998,5391.770833333333,2516.159722222222,83149.01418055553
65201.25,4622.768625000001,4629.28875,717.21375,652.0125,61347.856125,75822.533625,5433.4375,2535.6041666666665,83791.57529166667
65701.25,4658.218625,4664.78875,722.71375,657.0125,61818.306125,76403.98362499998,5475.104166666667,2555.0486111111113,84434.13640277776
66201.25,4693.668625,4700.28875,728.21375,662.0125,62288.756125,76985.43362499999,5516.770833333333,2574.4930555555557,85076.69751388888
66701.25,4729.118625,4735.78875,733.71375,667.0125,62759.206125,77566.883625,5558.4375,2593.9375,85719.258625
67201.25,4764.568625,4771.28875,739.21375,672.0125,63229.656125,78148.33362499998,5600.104166666667,2613.3819444444443,86361.8197361111
67701.25,4800.018625000001,4806.78875,744.71375,677.0125,63700.106125,78729.783625,5641.770833333333,2632.8263888888887,87004.38084722222
68201.25,4835.468625,4842.28875,750.21375,682.0125,64170.556125,79311.23362499998,5683.4375,2652.2708333333335,87646.94195833331
68701.25,4870.918625,4877.78875,755.71375,687.0125,64641.006125,79892.68362499999,5725.104166666667,2671.715277777778,88289.50306944444
69201.25,4906.368625,4913.28875,761.21375,692.0125,65111.456125000004,80474.133625,5766.770833333333,2691.159722222222,88932.06418055555
69701.25,4941.818625,4948.78875,766.71375,697.0125,65581.906125,81055.58362499998,5808.4375,2710.6041666666665,89574.62529166666
70201.25,4977.268625000001,4984.28875,772.21375,702.0125,66052.35612499999,81637.033625,5850.104166666667,2730.0486111111113,90217.18640277778
70701.25,5012.718625,5019.78875,777.71375,707.0125,66522.806125,82218.48362499998,5891.770833333333,2749.4930555555557,90859.74751388887
71201.25,5048.168625,5055.28875,783.21375,712.0125,66993.256125,82799.93362499999,5933.4375,2768.9375,91502.30862499999
71701.25,5083.618625,5090.78875,788.71375,717.0125,67463.70612500001,83381.383625,5975.104166666667,2788.3819444444443,92144.86973611111
72201.25,5119.068625,5126.28875,794.21375,722.0125,67934.156125,83962.83362499998,6016.770833333333,2807.8263888888887,92787.4308472222
72701.25,5154.518625000001,5161.78875,799.71375,727.0125,68404.60612499999,84544.283625,6058.4375,2827.2708333333335,93429.99195833332
73201.25,5189.968625,5197.28875,805.21375,732.0125,68875.056125,85125.73362499998,6100.104166666667,2846.715277777778,94072.55306944443
